news_headline,news_article,news_category
Ice hockey player dies after firework blasts into his chest at house party in US,"Matiss Kivlenieks, 24-year-old Columbus Blue Jackets goaltender who competed in US' National Hockey League, died after firework blasted into his chest during a Fourth of July house party. Police said he was in a hot tub when the incident took place and also suffered a head injury while rushing to get out. Medical examiner has ruled Kivlenieks's death accidental.",sports
"7 members of England party test positive ahead of Pakistan ODIs, Stokes named captain","The ECB today announced that seven members- three players and four management team members- of the England Men's ODI party have tested positive for COVID-19. The members will now self-isolate as per the government's protocol on quarantine. The remaining members have been deemed close contacts and will also isolate. Meanwhile, Ben Stokes has been named as the captain.",sports
It is a bitter pill to swallow: Paine on Australia missing out on reaching WTC final,"Talking about Australia not being able to reach the WTC final after losing four points due to the slow over-rate, captain Tim Paine said, ""It's a bitter pill to swallow when you're the only team that's been docked points."" He added, ""Unfortunately, we were the team I think that's borne the brunt of it for an over-rate.""",sports
Novak Djokovic reaches Grand Slam quarter-finals for the 50th time,"World number one Novak Djokovic reached his 50th Grand Slam quarter-final on Monday with a straight-sets victory over Chile's Cristian Garin at Wimbledon. The 34-year-old reached his 12th quarter-final at Wimbledon. He beat Garin 6-2, 6-4, 6-2 and will face Hungary's Marton Fucsovics for a place in the semi-finals.",sports
"Mary Kom, Manpreet Singh, Bajrang Punia to be India's flag-bearers at Tokyo Olympics","Six-time world champion boxer Mary Kom and Indian men's hockey team captain Manpreet Singh will be flag bearers for Indian contingent at the opening ceremony of Tokyo Olympics on July 23, Indian Olympic Association announced. Further, wrestler Bajrang Punia will be the flag-bearer at the closing ceremony on August 8. Around 126 Indian athletes will take part at the Games.",sports
Jaffer shares 'Phool Aur Kaante' meme as reports that Shaw could be sent to UK surface,"Wasim Jaffer took to Twitter to share a meme from 'Phool Aur Kaante' after reports that Prithvi Shaw could be sent to UK as Shubman Gill's replacement surfaced. Shaw is currently in Sri Lanka for the limited-overs series. In the meme, Ajay Devgn has been named Prithvi, while the two bikes he's balancing on have been termed ""ENGvIND"" and ""SLvIND"".",sports
India's 26-member squad for athletics event at Tokyo Olympics announced,"The Athletics Federation of India (AFI) has announced a 26-member team to compete at Tokyo Olympics. Out of the 26 athletes, 12 individual athletes, including sprinter Dutee Chand, and 4x400m mixed relay team attained World Athletics' 'Entry Standards' to secure automatic berths. Neeraj Chopra and Shivpal Singh will be representing India in men's javelin throw event.",sports
Delighted to be named Player of ODI series against India: Ecclestone,England Women spinner Sophie Ecclestone on Monday said she is delighted to be named as 'Player of the Series' for her performances in the recently concluded three-match ODI series against India Women. Ecclestone took eight wickets from three matches as England Women beat India Women 2-1. India Women will now play three T20Is against England Women.,sports
Australian GP cancelled for 2nd straight year due to COVID-19,"The Australian Formula One Grand Prix 2021 has been cancelled for a second straight year due to ""restrictions and logistical challenges"" relating to the ongoing COVID-19 pandemic, announced the organisers. The Grand Prix was due to be held at the Albert Park Grand Prix Circuit in Melbourne from November 18-21 after being moved from its usual date in March. ",sports
Don’t have words: Mary Kom on being named flag-bearer at Olympics,"After being named India's flag-bearer for the opening ceremony at Tokyo Olympics, six-time world champion boxer Mary Kom said that she doesn't have words to express her happiness. ""This will be my last Olympics and being the flag-bearer, it's a really big thing,"" said Mary. Indian men's hockey team captain Manpreet Singh was also named flag-bearer alongside Mary.",sports
Wimbledon 4th round loss to Auger-Aliassime doesn't hurt much: Zverev ,"After losing the fourth round match against 16th seed Felix Auger-Aliassime 4-6, 6-7(6-8), 6-3, 6-3, 4-6 at Wimbledon on Monday, world number six Alexander Zverev said the loss didn't hurt him much. ""I didn't play anywhere near the level I'm supposed to play in a Grand Slam...I gave my rival [Auger-Aliassime] many gifts [points]...especially in important moments,"" he added.",sports
Excited to play under coach Dravid in SL series: Suryakumar Yadav,"Ahead of Team India's limited-overs series against Sri Lanka, India batsman Suryakumar Yadav said he is excited to play under coach Rahul Dravid and added he's looking forward to it. ""This is my first tour with him [Dravid] but I've heard from many players that Dravid sir is very calm and composed when it comes to this role,"" he added.",sports
Barty and Jabeur reach their first quarter-finals at Wimbledon,"World number one Ashleigh Barty defeated French Open champion Barbora Krejcikova 7-5, 6-3 in fourth-round to advance to Wimbledon quarter-finals for the first time. In other fourth-round match, Tunisia's Ons Jabeur beat 7th seed Iga Swiatek 5-7, 6-1, 6-1 to become first Arab or North African, man or woman, to reach Wimbledon quarter-finals since Egypt's Ismail El Shafei in 1974.",sports
Manpreet 2nd hockey captain from Mithapur to be flag-bearer at Olympics,"Indian men's hockey team captain Manpreet Singh became the sixth hockey player and second from Mithapur, Jalandhar to be named flag-bearer for the country in the opening ceremony at Olympics. ""From growing up...playing hockey in Mithapur village to being named flag-bearer…is a big honour,"" said Manpreet. Ex-captain Pargat Singh from Mithapur was flag-bearer at 1996 Olympics.",sports
"PDP won't meet J&K Delimitation Commission, says 'outcome pre-planned'","Mehbooba Mufti's PDP won't meet Jammu and Kashmir Delimitation Commission, the party's General Secretary Ghulam Nabi Lone Hanjura said in a letter to the commission's head Justice (retd) Ranjana Prakash Desai. He claimed the outcome of the delimitation exercise was ""pre-planned"" and it may ""hurt interests of our people"". The commission arrived in J&K on Tuesday. 
",politics
Will move court if uncle Paras gets cabinet berth on LJP quota: Chirag,"LJP leader Chirag Paswan said that if his estranged uncle Pashupati Kumar Paras is given a cabinet berth on the party's quota, then he will go to court. He added, ""Making him a...Minister on LJP quota isn't possible as the party's executive board expelled him...If he's [made a minister] as independent MP or from JDU then there's no problem.""",politics
Lakshadweep administration denies entry permit to 8 LDF MPs,"The Lakshadweep Administration rejected the application of eight Left Democratic Front (LDF) MPs including Elamaram Kareem and Binoy Viswam for the entry permit to the UT. Citing the police report, the UT administration stated that the proposed visit of MPs from Kerala may provoke the local people, political parties/activists, social workers against the present administration leading to protests.",politics
"Have seen leaders like Sushma Swaraj, this BJP is different: Mamata","West Bengal CM Mamata Banerjee on Tuesday said BJP members ""don't know courtesy and decency"" and that was evident from the ruckus they created during Governor Jagdeep Dhankhar's Assembly speech. ""I have seen BJP leaders like Rajnath Singh to Sushma Swaraj...This BJP, however, is different,"" she added. BJP MLAs on July 2 protested during Dhankhar's speech over post-poll violence incidents.",politics
Maha BJP MLAs protest over suspension of 12 of its legislators,"Maharashtra BJP MLAs on Tuesday staged a protest at the state Assembly in Mumbai, against the suspension of 12 of its legislators. This comes after Maharashtra Speaker in-chair Bhaskar Jadhav suspended the MLAs for one year over their unruly behaviour. ""I have never seen such a behaviour in my entire legislative career of 36 years,"" Jadhav had remarked.",politics
Maharashtra govt introduces 3 bills to counter Centre's farm laws,"The Maharashtra government on Tuesday introduced three amendment bills in the state Assembly, to counter the Centre's farm laws that have led to widespread protests across the nation. The bills have provisions for higher than MSP rate for the produce of farmers, time-bound payment of dues and a three-year jail term or ₹5 lakh fine or both for harassing farmers. ",politics
Preliminary inquiry against me politically motivated: Sudhakaran,"Kerala Congress President K Sudhakaran said the preliminary inquiry ordered by Vigilance and Anti-Corruption Bureau against him is ""politically motivated"". ""During the last one month, we've strongly opposed LDF, CM and other ministers. This is to stop me,"" he added. This comes after an inquiry against Sudhakaran was ordered over corruption allegations following a complaint by his former driver.",politics
Athawale to lead RPI(A)'s protest in Mumbai demanding 5% Muslim quota,"Republican Party of India (A) President Ramdas Athawale will on Tuesday stage a demonstration at Mumbai's Azad Maidan to demand a 5% reservation for Muslims and protest issues over OBC and Maratha reservation and increasing anti-Dalit incidents in Maharashtra. ""We [also] demand restoration of 33% promotions to government employees belonging to SC, ST, VJNT and SBC,"" RPI(A) Mumbai President said.",politics
Maha govt to probe Cong's Nana Patole's phone-tapping allegation,"The Maharashtra government on Tuesday ordered a high-level inquiry into the allegation made by Congress leader Nana Patole that his phone was tapped during the previous BJP-led government. ""This is a serious issue...Action will be taken against those responsible,"" said state Home Minister Dilip Walse Patil. He also added that the report will be tabled during the next Assembly session.",politics
Ram Vilas Paswan was a companion & friend of my father: Tejashwi,"RJD leader Tejashwi Yadav, on the occasion of party's 25th Foundation Day, remembered LJP founder, late Ram Vilas Paswan. ""Today is his (Ram Vilas Paswan) birthday and he has been a companion and friend of my father. They struggled together and I regret that he is not with us today,"" he said. ",politics
Justice is on ventilator: Mahua Moitra on Father Stan Swamy's death,"TMC leader Mahua Moitra, reacting to 84-year-old Father Stan Swamy's demise, said she was ""ashamed and saddened at how justice is on a ventilator in the country"". ""NIA arrested him in October from his home in a late-night raid, opposed his bail saying no 'conclusive proof' of his ailments,"" Moitra tweeted. Swamy died owing to post-COVID-19 complications on Monday.",politics
Telangana BJP chief to launch 'padyatra' from Hyderabad ,Telangana BJP unit President and Karimnagar MP Bandi Sanjay Kumar on Sunday announced that he would organise a 'padyatra' (foot march) from Hyderabad on August 9. He said the yatra aims at creating awareness among the public on the alleged failures of the ruling TRS government and exposing the alleged corrupt practices of Chief Minister K Chandrashekar Rao.,politics
Shameless PM failed country but his picture found everywhere: Mamata,"West Bengal CM Mamata Banerjee on Tuesday claimed that her government was forced to purchase COVID-19 vaccines on its own as the Centre ""failed"" to do so. She said, ""Our shameless PM has failed the country but his picture is found everywhere, from vaccine certificates to hoardings."" Banerjee added, ""I have seen many prime ministers, but none so shameless."" ",politics
ED summons Mehbooba Mufti's mother in money laundering case,"The Enforcement Directorate has summoned former Jammu and Kashmir CM Mehbooba Mufti's mother in a money laundering case, officials said. Gulshan Nazir, who is in her late seventies, has been asked to appear before ED at its Srinagar office on July 14. Mufti said the summon was sent on the day when PDP chose not to meet the Delimitation Commission.",politics
Owaisi to inaugurate 1st AIMIM office in UP ahead of Assembly polls,"Ahead of the Uttar Pradesh Assembly polls in 2022, Asaduddin Owaisi-led AIMIM is set to open its first-party office in UP. Owaisi is scheduled to arrive in the state and inaugurate the office in Bahraich district, approximately 120 kilometres from the capital Lucknow, on July 8. The party had earlier announced that it will contest 100 seats in UP.  ",politics
Government created a mess: Cong leader Shashi Tharoor on new IT portal,"Congress leader Shashi Tharoor criticised the Centre over the reported glitches in the new Income Tax portal saying that even after spending ₹4,200 crore, the government ""failed"" to attain the objective and ""created a mess"" instead. Tharoor tweeted that the Chartered Accountants in All India Professionals' Congress (AIPC) informed him that the change of Income Tax portal has been ""disastrous"".",politics
K'taka Guv designate Gehlot to quit as Union Minister tomorrow,"BJP leader Thawarchand Gehlot, who was named as new Karnataka Governor on Tuesday, said he will resign from all three positions including Rajya Sabha MP and Union Minister of Social Justice and Empowerment in person tomorrow. ""President Kovind and PM Modi have shown faith in me...I'll live up to their expectation,"" he said. President appointed new Governors for eight states.",politics
Farmers to start protest outside Parliament on July 22: Farm unions,"Farmers protesting against the Centre's three new agricultural laws will start demonstrating outside Parliament on July 22. The Samyukt Kisan Morcha (SKM) said nearly 200 farmers will protest outside Parliament every day during the Monsoon Session. The farm organisations and like-minded groups will also hold countrywide protests against rising fuel prices on July 8, the SKM added.",politics
Congress chief Sonia meets Priyanka ahead of talks with Punjab CM,Congress chief Sonia Gandhi and party's General Secretary Priyanka Gandhi Vadra met on Tuesday ahead of Punjab CM Captain Amarinder Singh's meeting with Sonia. This comes days after Priyanka Gandhi Vadra met party leader Navjot Singh Sidhu. Congress party has constituted a panel to end the differences between Singh and Sidhu and factionalism in Punjab Congress ahead of Assembly elections.,politics
BJP giving political colour to conversions to hide failure: Mayawati,"Bahujan Samaj Party (BSP) President Mayawati has accused the BJP of giving ""political colour"" to the issue of religious conversion in an attempt to hide its failures ahead of the 2022 Assembly elections in five states. ""There should also be strict legal action if there is any anti-India conspiracy in this matter,"" Mayawati added.",politics
11-yr-old who aims for 'immortality' becomes world's 2nd youngest graduate,"Belgium's 11-year-old Laurent Simons has become the world's second-youngest graduate after completing his bachelor's in Physics from the University of Antwerp in one year. ""It's the first puzzle piece in my goal of replacing body parts with mechanical parts,"" said Simons, who aims for ""immortality"". US' Michael Kearney, who graduated aged 10, holds the record for the world's youngest graduate.",technology
"Amazon mistakenly sells ₹96,700 split AC for ₹5,900; fixes error after some buy it","Amazon India's website briefly listed a 1.8-ton inverter split air conditioner costing ₹96,700 for ₹5,900 due to an error. According to an India Today report, some Amazon users made the purchase before Amazon realised the error, however, the report did not specify what happened to those orders. The product was later listed for ₹59,000 at a 39% discount.",technology
CEO who failed in Silicon Valley now worth $1.9 bn after returning to Japan,"Japan's 48-year-old entrepreneur Takanori Nakamura, who pulled out of Silicon Valley in 2015 after his mobile marketing software flopped, is now worth $1.9 billion. Nakamura moved back to Japan and currently serves as the President & CEO of cloud-based expense software firm Rakus. His company's shares have surged more than 4,800% since its IPO in Tokyo in December 2015.",technology
Twitter can't take as long as it wants to appoint grievance officer: Delhi HC,"Delhi High Court on Tuesday expressed displeasure over Twitter delaying the appointment of grievance redressal officer. ""How long does your process take? If Twitter thinks it can take as long as it wants in our country, I'll not allow that,"" the judge said. The court added Twitter misled the court by not telling that it earlier appointed an interim officer.",technology
"We're not giving any protection to Twitter, Centre free to take action: Delhi HC","The Delhi High Court pulled up Twitter for alleged non-compliance with the new IT rules while adding that it's not giving any protection to Twitter and the Centre is free to take action against Twitter. The rules were notified on February 25 with three months of time for compliance. As of July 1, Twitter failed to comply with the rules.",technology
Muslim women's pics shown as 'deal of the day' on 'Su**i Deals' app on GitHub; removed,"An application called 'Su**i Deals' on open-source platform GitHub has been removed after criticism for displaying Muslim women's pictures and names as ""deal of the day"". ""I was shocked to see my face being right there, displayed as the deal of the day,"" pilot Hana Mohsin Khan said. Su**i is a derogatory term used to refer to Muslim women.",technology
DiDi loses $22 billion after China blocks its app from app stores,"DiDi's shares slumped as much as 30% in US premarket trade on Tuesday, wiping out about $22 billion of its market value. This comes after China ordered app stores to remove DiDi's ride-hailing app as it was found illegally collecting users' personal data. Last week, DiDi became the biggest Chinese company since Alibaba to list on a US stock exchange.",technology
"Twitter restricts account of New Zealand professor who mocked Xi, restores later","New Zealand Professor Anne-Marie Brady, who specialises in Chinese politics, has said that Twitter restricted her account after she mocked Chinese President Xi Jinping in her tweets. Brady had tweeted an opinion article which she had written and captioned, ""Alternative headline: ""Xi: It's my Party and I'll cry if I want to."" The tweets were also made unavailable temporarily.",technology
"Bezos refused to take elevator, ran up 14 flights of stairs to office: Ex-assistant","Amazon Founder Jeff Bezos refused to take the elevator up to Amazon's 14th-floor office and would run up and down the steps ""without breaking a sweat"", Bezos' former executive assistant Ann Hiatt told CNBC. ""He's like a puppy. He'd do laps and he was never tired,"" Hiatt added. Bezos, the world's richest person, stepped down as Amazon's CEO on Monday.",technology
British Airways settles with 4 lakh victims of 2018 data breach,"British Airways has settled a case by customers and staff affected by a 2018 data breach that led to personal information being leaked, for which the airline was fined $27.7 million. The breach caused the personal data of over four lakh people to be leaked. Victims will receive a confidential settlement following mediation with British Airways.

",technology
Inform on grievance officer's appointment by July 8: HC to Twitter,"The Delhi High Court on Tuesday directed Twitter to inform it by July 8 (Thursday) as to when the resident grievance officer will be appointed. The court also pointed out that Twitter hadn't informed that it earlier appointed a grievance officer on interim basis. ""Come up with a clear response, otherwise you will be in trouble,"" the judge told Twitter.",technology
"Twitter gives free NFT to UK politican, she sells it for ₹82 lakh","Twitter has awarded one of the free 140 NFTs it had announced to give away, to a UK politician who posted a poem in response to Twitter's announcement. Margaret Corvid was given the NFT titled 'Reply Guy', representing ""the man behind the mansplaining"", which she later sold for nearly ₹82 lakh. Corvid has already reinvested ₹29.8 lakh into a CryptoPunk.",technology
Be an entrepreneur like Gates or Musk: Kiyosaki to young people,"'Rich Dad Poor Dad' author Robert Kiyosaki in a recent interview with Yahoo said that young people should not become an employee but an entrepreneur like Tesla CEO Elon Musk and Microsoft Co-founder Bill Gates. He added, ""Young people shouldn't go to school and become employees, they should become entrepreneurs and capitalists, and build businesses that create jobs.""",technology
"DoT plans ₹10,000 fine per fraud SMS after 50 violations: Report","The DoT has proposed fines of up to ₹10,000 per fraudulent call and SMS made by telemarketers, as per reports. A penalty of ₹1,000 per violation will be levied for 0-10 breaches, ₹5,000 each for 10-50 violations and ₹10,000 each for more than 50 violations. A system generated message will also be sent to suspected numbers for verification, reports said.",technology
Researchers develop material that gives robots self-repair ability,"Researchers at the National University of Singapore (NUS) have developed a smart foam material that gives robots the ability to repair themselves when damaged. The AiFoam can also mimic the human sense of touch and sense nearby objects without actually touching. There are many applications for such a material, especially in robotics and prosthetic devices, lead researcher Benjamin Tee said.",technology
Hyderabad-based techie develops mileage booster for vehicles,"A Hyderabad-based technician has claimed to have developed a mileage booster for vehicles between 100 cc and 10,000 cc. David Eshkol, the Chief Technologist and the developer of 5M Mileage Boost, further said that he has successfully boosted the engines of around 8,000 vehicles, including two-wheelers, four-wheelers and, in some cases, trucks and buses. 

",technology
NFT sales volume surges to $2.5 bn in first half of 2021: Report,"The market for non-fungible tokens (NFTs) surged to new highs in the second quarter of 2021 to record around $2.5 billion in sales so far this year, according to marketplace data. This figure was around $13.7 million in the same period a year ago. NFTs are crypto assets representing unique digital items like images, videos and in-game items.",technology
Bitcoin fluctuates after China shuts down firm over crypto trading,"Bitcoin fluctuated after China's central bank ordered the shutdown of a Beijing-based software company for allegedly providing cryptocurrency related services. The company's operations were suspended and its website has been deactivated, authorities said. Bitcoin had risen as much as 3.7% to $35,094 before but it dropped back after the announcement. It was later trading around $34,194 on Tuesday.",technology
Weibo denies reports of plans to take firm private in $20 bn deal,Weibo's Chairman Charles Chao said on Tuesday he has not had discussions with companies to take the social media company private. The clarification came after Reuters reported that Chao and a Chinese state investor were in talks to take Weibo private in a deal that would value the company at $20 billion. Weibo shares jumped more than 40% on Tuesday.,technology
Tesla sued for 15-yr-old US boy's death in crash involving Model 3,"The family of a 15-year-old US boy who died in a 2019 crash involving a Tesla Model 3 on Autopilot has sued Tesla. The Tesla had rear-ended the boy's vehicle, after which he was thrown from it. A video recorded by Tesla reportedly shows the Autopilot didn't slow the car down until a fraction of a second before the crash.",technology
"Firoz hasn't paid me for 'Welcome', won't do his film even if he offers ₹10cr: Snehal","Actor Snehal Daabbi has claimed producer Firoz Nadiadwala hasn't paid him for his work in the 2007 film 'Welcome'. ""Firoz bhai would just assure 'I will pay you'. Hence, I was disillusioned...and was wondering 'What kind of industry is this?'"" Snehal told Bollywood Hungama. ""I won't do his film even if he offers me ₹10 crore,"" Snehal added.
",entertainment
We are just beginning to explore its potential: Dia Mirza on OTT,"Dia Mirza, who was seen in the web show 'Kaafir', spoke about the OTT platforms and said, ""As...actor and producer...this new medium has...challenged and inspired me to discover new facets of storytelling."" ""This is a vast...horizon and we're just beginning to explore its potential,"" she added. Dia said the thematic versatility and creative freedom that digital platforms offer is refreshing.",entertainment
Anushka Sharma starrer Jhulan Goswami's biopic not shelved: Reports,"India Women fast bowler Jhulan Goswami's biopic, which will reportedly feature actress-producer Anushka Sharma in the lead role, has not been shelved and is currently under development, as per reports. ""Once the script is approved, the director would be finalised after which Anushka would start the preparation,"" reports stated. ""The film won't go on floors before 2021-end,"" it added.",entertainment
"I like the freedom here, I make my own food: Sonam on life in London","Sonam Kapoor, who moved to London with her husband Anand Ahuja, talked about the ""freedom"" she enjoys in the city. She said, ""I like the freedom here...I make my own food, clean my own space, shop for my own groceries."" Sonam further said, ""London has made me realise that I'm very Indian...I now realise what being an immigrant actually means.""",entertainment
"Anupam shares old pic with DiCaprio, says 'He was kind & affectionate'","Taking to Instagram, Anupam Kher shared an old picture of himself with Hollywood actor Leonardo DiCaprio and recalled how the latter reacted when he introduced himself as an 'Indian actor'. ""I said, 'I am an Indian actor.' He said, 'I know!' I asked, 'How?' And then he just gave me a warm hug. He was kind and affectionate,"" he wrote. ",entertainment
